text,label
"['9/11', 'families', 'welcome', 'Biden', 'memorial', 'event', 'unless', 'declassifies', 'evidence', 'https://t.co/k70u5t01zy', '-', '@politic_talks', '#Politics', '#Political']",0
"['religion', 'n', '#India', 'progress', 'prosper', 'separated', '#Politics', '.', 'Th', 'biggest', 'danger', 'n', ""today's"", 'time', 'mixing', 'politcs', '#religions', '.', 'political', 'debate', 'free', 'vidut', 'Hindus', '#Muslim', '.', 'fueled', '#journalist', '#media', '.', '#EducationForAll', 'culd', 'b', 'th', 'nly', 'rescue', 'https://t.co/LpllyFcsn6']",0
"['Israeli', 'hospital', ':', 'Majority', 'hospitalized', 'Covid', '-', '19', 'patients', 'fully', 'vaccinated', '…', '-', '#news', '#politics', '-', 'https://t.co/3DtWODK8yX']",0
"['""', '#Politics', 'Today', 'News', ':', ""#Trump's"", 'Surgeon', 'General', 'slammed', ""Florida's"", 'ban', 'mask', 'mandates', ':', ""'"", 'letting', 'politics', 'get', 'way', 'protecting', 'youth', ""'"", '#News', '""', ':', 'https://t.co/5vVvkDmTRR']",0
"['Bipartisan', 'infrastructure', 'bill', ':', '19', 'GOP', 'senators', 'vote', '$', '1T', 'legislation', 'https://t.co/qeObExjIUq', '-', '@politic_talks', '#Politics', '#Political']",0
"['Senators', 'look', 'towards', 'bipartisan', 'Capitol', 'security', 'funding', 'deal', 'https://t.co/FOWiOckvbq', '-', '@politic_talks', '#politics', '#politic']",0
"['Politics', 'India', 'caste', 'oriented', '.', '#politics', '#India']",0
"['Via', '@RawStory', ':', 'Mask-bashing', 'Maine', 'Republican', 'loses', 'wife', 'COVID', '-', '19', 'contract', 'virus', 'https://t.co/brh2MnE4kI', '|', '#politics', '#trump', '#corruption']",0
"['ClubsNSW', 'try', 'pretend', 'whistleblower', '.', 'Andrew', 'Wilkie', 'MP', ',', 'knows', 'truth', '.', '#ClubsNSWindenial', '#leadership', '#trust', '#ethics', '#culture', '#justice', '#politics', '#law', '#moneylaundering', 'https://t.co/bnUSqZcn83']",0
"['Dominic', 'Raab', 'dodged', 'quarantine', 'France', 'trip', '-', 'met', 'Princess', 'Anne', 'two', 'days', 'later', ':', 'Mr', 'Raab', 'visited', 'France', 'gave', 'amber', 'plus', 'rating', 'July', 'due', 'concerns', 'rising', 'infections', ',', 'meant', '…', 'https://t.co/drgSeI8zlu', '#Politics', 'FOLLOW', '@torysleazeUK', 'https://t.co/nH7FHm3VZ4']",0
"['smell', '2022', 'somewhere.Kwa', 'ground', 'vitu', 'zimekuwa', 'tough', '#Railaodinga', '#Orengo', '#elections2022', '#wiliamruto', '#politics', 'https://t.co/Fh6Jo7uXmu']",0
"['’', 'Trump', 'criticizing', '2012', 'Election', '(', 'Obama', 'pop', '.', 'vote', 'idk', '’', 'talking', ')', 'winning', 'election', '2016', 'despite', 'loosing', 'popular', 'vote', '.', 'irony', 'great', '😭', '.', '#Politics', '#Trump', '#Democracy', '#Electoralcollege', 'https://t.co/jlOi6MWJtH']",0
"['#Business', '#Healthcareindustry', '#Politics', '#USEconomy', 'calls', 'moratorium', 'Covid', 'vaccine', 'boosters', 'least', 'September', '-', 'CNBC', 'https://t.co/rZOh1pBiW7']",0
"['TODAY', 'Mike', 'Cargile', 'joins', '@TheFirstonTV', 'discuss', 'election', 'integrity', 'Governor', 'Newsom', 'recall', '#ElectionIntegrity', '#Newsom', '#RecallGavinNewsom', '#ElectionTwitter', '#California', '#votes', '#politics', '#Government', 'https://t.co/37wI2iklWK']",0
